12-oct.tsv:1967df61-afb5-102f-b7b7-97f588ca8bae	Taqueria El Sol	595 Geary Street 	San Francisco	CA	94102	USA	(415) 441-0405	37.786683	-122.413001
12-oct.tsv:196a0241-afb5-102f-b6fe-b1af0bd9e498	Bohemian Club	624 Taylor St 	San Francisco	CA	94102	USA	(415) 885-2440	37.788200	-122.411712
12-oct.tsv:196a07a0-afc8-102f-b59f-856286dbfd59	Salon 51	5037 N Harlem Ave	Chicago	IL	60656	USA	(773) 775-1424	41.971569	-87.806914
12-oct.tsv:196da530-af88-102f-abfb-64676a130f8c	Fairfield Inn by Marriott Decatur Forsyth	1417 HICKORY POINT DRIVE 	FORSYTH	IL	62535	USA	217 875-3337	39.915785	-88.956447
12-oct.tsv:196e85f0-b040-102f-b36f-4edad65affd3	Coalfire Pizza	1321 W Grand Ave	Chicago	IL	60642	USA	(312) 226-2625	41.890900	-87.660132
12-oct.tsv:196edbd0-c680-102f-addf-0a52ef4056c7	BLUE RIDGE HOME FASHIONS INC	303 E Wacker 	Chicago	IL	60601	USA	(626) 960-5196	41.887687	-87.620506
12-oct.tsv:1971bc21-b1b2-102f-8e7f-c6e3c6437aa3	Gelati of Naperville	24 w jefferson ave	Naperville	IL	60540	USA	(630) 848-7500	41.772801	-88.148321
12-oct.tsv:19731571-b022-102f-bfbe-93f70f4a38ba	Lama's Kenpo Karate	474 San Mateo Ave	San Bruno	CA	94066	USA	(650) 583-3030	37.623725	-122.411065
12-oct.tsv:19732a01-afb5-102f-abee-cd68e1f17c5a	Rosebowl Florist & Wine Bar	601 Van Ness Ave 	San Francisco	CA	94102	USA	(415) 474-1114	37.781061	-122.420597
12-oct.tsv:19733610-b0de-102f-b6bf-792b5bb512c0	San Francisco International Chocolate Salon	Fort Mason Center, Festival Pavilion San Francisco	San Francisco	CA	94123	USA	(415) 624-6437	37.779598	-122.420143
12-oct.tsv:1975bb50-b445-102f-beff-a81afb85d2b7	A Plus Garage Door Company -	790 25th Ave	San Francisco	CA	94121	USA	(415) 386-2136	37.774775	-122.484170
12-oct.tsv:1976e770-af9d-102f-addc-95ef56495a4e	Ploy II-Thai Cuisine	1770 Haight St	San Francisco	CA	94117	USA	(415) 387-9224	37.769565	-122.451387
12-oct.tsv:1978a2c0-ebc2-102f-8ea9-3e1e000b8e50	Waffles	1400 S Michigan Ave. 	Chicago	IL	60605	USA	(312) 854-8572	41.863847	-87.624263
12-oct.tsv:197c1ea0-b0fd-102f-a21b-4a2434df2e99	Marmalade Ink	119 n wright st	Naperville	IL	60540	USA	(630) 995-9556	41.776209	-88.139597
12-oct.tsv:197c8f70-b0df-102f-bcbb-7bf2fd460187	Orange Photography	2565 Third Street, Suite 215 	San Francisco	CA	94107	USA	(415) 255-7478	37.757054	-122.387924
12-oct.tsv:197e6980-b427-102f-bfff-7ea72bbede1c	Wildlife Education Ltd	2418 Noyes St	Evanston	IL	60201	USA	(800) 992-5034	42.057899	-87.707104
12-oct.tsv:1983aee0-b030-102f-bb9b-d74e3400a536	Massage Envy - SF Bay Area	160 Donahue Street Suite I 	Sausalito	CA	94965	USA	(415) 339-9003	37.872290	-122.511564
12-oct.tsv:1986f650-b2b9-102f-97bf-c97681d1ca10	Real Life Weddings	4330 North Lincoln Avenue 	Chicago	IL	60618	USA	(773) 509-9393	41.960539	-87.683378
12-oct.tsv:19892360-b270-102f-9bbf-f06a52f1d182	Ohana Hawaiian BBQ	39006 Fremont Blvd	Fremont	CA	94538	USA	(510) 790-2888	37.548553	-121.987927
12-oct.tsv:198a7800-b225-102f-9f7c-129508f5e0c5	Trianon Salon	1166 W Armitage Ave Chicago	Chicago	IL	60614	USA	(773) 880-8401	41.884150	-87.632409
12-oct.tsv:198ac9d0-b0eb-102f-bec4-4731e2c5018f	The Phoenix Pastificio	1250 Addison St 	Berkeley	CA	94709	USA	(510) 883-0783	37.868708	-122.287239
