								Sun		Mon		Tue		Wed		Thu		Fri		Sat							
ID	Name	Address	City	State	Zip	Country	Phone	Open Hours	Close Hours	Open Hours	Close Hours	Open Hours	Close Hours	Open Hours	Close Hours	Open Hours	Close Hours	Open Hours	Close Hours	Open Hours	Close Hours	URL 1	URL 2	URL 3	URL 4	URL 5	URL 6
Merged-03-oct.tsv:8b54d070-c5fd-102f-9bfa-629e74c7f6ad	Jollyville Dental Professionals	11672 Jollyville Rd 	Austin	TX	78759	USA	(512) 943-6502			7:00 AM	4:00 PM	7:00 AM	4:00 PM	7:00 AM	4:00 PM	7:00 AM	3:00 PM					http://www.jollyvilledental.com/	http://www.yelp.com/biz/jollyville-dental-professionals-austin			https://plus.google.com/108822471911812149529/about?gl=US&hl=en-US	https://www.facebook.com/jollyvilledental
Merged-03-oct.tsv:8b629cd0-c5e1-102f-bbcb-288cf13fcd2a	Greensboro Coliseum Complex Charlotte	1921 W Lee St. 	Greensboro	NC	27403	USA	(336) 373-7400	11:00 AM	6:00 PM	8:30 AM	5:30 PM	8:30 AM	5:30 PM	8:30 AM	5:30 PM	8:30 AM	5:30 PM	8:30 AM	5:30 PM			www.greensborocoliseum.com/	http://www.yelp.com/biz/greensboro-coliseum-complex-greensboro		http://local.yahoo.com/info-13067359-greensboro-coliseum-complex-greensboro	https://plus.google.com/102217142489454171503/about?gl=US&hl=en-US	https://www.facebook.com/TheGreensboroColiseumComplex
Merged-03-oct.tsv:8b67fe30-c598-102f-bfbf-3ed90caa8ffd	Agave Restaurant	140 7th Avenue South 	New York	NY	10014	USA	(212) 989-2100	11:00 AM	11:30 PM	11:00 AM	11:30 PM	11:00 AM	11:30 PM	11:00 AM	11:30 PM	11:00 AM	11:30 PM	11:00 AM	1:00 PM	11:00 AM	1:00 PM	http://www.agaveny.com/	http://www.yelp.com/biz/agave-tequila-bar-and-restaurant-new-york	http://www.tripadvisor.com/Restaurant_Review-g60763-d423289-Reviews-AGAVE-New_York_City_New_York.html		https://plus.google.com/103744868535957576533/about?gl=US&hl=en	https://www.facebook.com/pages/Agave-restaurant-and-lounge/310646716981
Merged-03-oct.tsv:8b6a6420-b0dc-102f-bf7c-4179ff6b4b42	Wright's Farm	699 New York 208 	Gardiner	NY	12525	USA	(845) 255-5300	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	8:00 AM	6:00 PM	http://www.eatapples.com/	http://www.yelp.com/biz/wrights-farm-gardiner-2		http://local.yahoo.com/info-11575902	https://plus.google.com/108309725017510111282/about?gl=US&hl=en	https://www.facebook.com/WrightsFarm
Merged-03-oct.tsv:8b6b2bb0-c60a-102f-97cf-a2e211ea3d36	Mad Chef Express	3701 Cottage Hill Rd. 	Mobile	AL	36609	USA	(251) 660-2433															http://www.facebook.com/MadChefExpress			http://local.yahoo.com/info-83877029-mad-chef-express-mobile	https://plus.google.com/116929691543044770247/about?gl=US&hl=en	https://www.facebook.com/MadChefExpress
Merged-03-oct.tsv:8b75f960-c5c3-102f-96fc-6922e125b301	Damali NYC	574 5th Ave. 	Manhattan	NY	10036	USA	(212) 221-1169	closed	closed	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	www.damalinyc.com	http://www.yelp.com/biz/damali-nyc-manhattan		http://local.yahoo.com/info-74267994-damali-nyc-new-york	https://plus.google.com/101558081652923168443/about?gl=in&hl=en	https://www.facebook.com/pages/damali-nyc/333618920120
Merged-03-oct.tsv:8b936e30-c64c-102f-bffe-10cf6cafac07	Sorella Hair Studio/Fashion Boutique	6 Petaluma Blvd. N. Suite A12 	Petaluma	CA	94952	USA	(707) 769-9983	12:00 PM	5:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	10:00 AM	6:00 PM	http://sorellahairandfashion.com/	http://www.yelp.com/biz/sorella-hair-and-fashion-boutique-petaluma			https://plus.google.com/109642307867216086982/about?gl=US&hl=en	https://www.facebook.com/sorellaboutique
Merged-03-oct.tsv:8ba5d710-af8a-102f-ae97-d19c385c2dfd	Geppetto's pizza	2340 E Murray-Holladay Rd. 	Holladay	UT	84117	USA	(801) 272-1061															http://www.gepettospizza.info	http://www.yelp.com/biz/gepettos-restaurant-salt-lake-city-2	http://www.tripadvisor.com/Restaurant_Review-g57016-d443654-Reviews-Gepetto_s_Restaurant-Holladay_Utah.html	http://local.yahoo.com/info-19929144-gepetto-s-salt-lake-city;_ylt=AgZ5KwafqryMulpXHt6nCI6HNcIF;_ylv=3?csz=Holladay%2C+UT	http://maps.google.com/maps/place?hl=en&gs_upl=2937l7148l7l7246l18l12l6l0l0l0l173l1223l7.5l18l0&bav=on.2,or.r_gc.r_pw.,cf.osb&biw=1086&bih=911&um=1&ie=UTF-8&q=gepettos+%2B+holladay&fb=1&gl=us&hq=gepettos+%2B&hnear=0x875262279dad1165:0x553378a4ecab8628,Hol	https://www.facebook.com/Gepettos?filter=2
Merged-03-oct.tsv:8bab08e1-b0d7-102f-affd-8c94596efece	Boston Derby Dames	99 Fordham Rd. 	Wilmington	MA	1887	USA	(781) 665-5725															http://www.bostonderbydames.com/index.cfm				https://plus.google.com/109737280381608898105/about?gl=in&hl=en	https://www.facebook.com/bostonderbydames
Merged-03-oct.tsv:8bae2021-b069-102f-bff7-ca01ba79e661	Body & Mind Laser Spa	9229 Queens Blvd. 	Rego Park	NY	11374	USA	(718) 544-3900															http://www.bodyandmindspa.com	http://www.yelp.com/biz/body-and-mind-laser-spa-rego-park		http://local.yahoo.com/info-60601602-body-mind-laser-spa-flushing?csz=Rego+Park%2C+NY	https://plus.google.com/102351614379135985129/about?gl=in&hl=en	https://www.facebook.com/pages/Body-Mind-Spa/122142436299
Merged-03-oct.tsv:8bb32310-afc2-102f-bbff-638610f3d34e	Thai Spice	1514 E Commercial Blvd. 	Fort Lauderdale	FL	33334	USA	(954) 771-4535	5:00 PM	11:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	5:00 PM	11:00 PM	http://www.thaispicefla.com/	http://www.yelp.com/biz/thai-spice-oakland-park	http://www.tripadvisor.com/Restaurant_Review-g34495-d466722-Reviews-Thai_Spice_Restaurant-Oakland_Park_Florida.html	http://travel.yahoo.com/p-travelguide-14363656R-thai_spice_restaurant-i	https://plus.google.com/106213778370099657020/about?gl=US&hl=en	https://www.facebook.com/thaispicefla
Merged-03-oct.tsv:8bb615c0-b071-102f-bcf6-15375a8508f6	Tea & Ashi Spa	363 Primrose Rd. 	Burlingame	CA	94010	USA	(650) 401-6899	10:00 AM	5:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	10:00 AM	7:00 PM	http://www.teandashispa.com/	http://www.yelp.com/biz/te-and-ashi-spa-burlingame-2		http://local.yahoo.com/info-58711223-te-ashi-spa-burlingame	https://plus.google.com/101587309544061041410/about?gl=in&hl=en	https://www.facebook.com/pages/Te-And-Ashi-Spa/197667966946438
Merged-03-oct.tsv:8bb81d70-b3e6-102f-bfcd-86e99bdeaaa9	Cafe Polonez	195 Roncesvalles Avenue 	Toronto	ON	M6R 2L5	Canada	(416) 532-8432	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	http://www.cafepolonez.ca/About_Us.html	http://www.yelp.ca/biz/caf%C3%A9-polonez-toronto-2	http://www.tripadvisor.com/Restaurant_Review-g155019-d782194-Reviews-Cafe_Polonez-Toronto_Ontario.html		https://plus.google.com/109998296461989483111/about?gl=US&hl=en	https://www.facebook.com/pages/Cafe-Polonez/107847359264001
Merged-03-oct.tsv:8bce6c80-b452-102f-9376-e65f77f1216e	Beer & Wine Hobby	155 T New Boston St. Suite T	Woburn	MA	1801	USA	(781) 933-8818	10:00 AM	2:00 PM	9:00 AM	6:00 PM	9:00 AM	6:00 PM	9:00 AM	6:00 PM	9:00 AM	7:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	http://www.beer-wine.com/	http://www.yelp.com/biz/beer-and-wine-hobby-woburn-2			https://plus.google.com/115668513136909619513/about?gl=US&hl=en-US	https://www.facebook.com/beerwinehobby
Merged-03-oct.tsv:8bd0ac40-c5b2-102f-93fe-1c2673a7df06	Cake-ology	85 Arthur St. 	Winnipeg	MB	R3B 1H2	Canada	(204) 612-9866	closed	closed	11:00 AM	5:00 PM	11:00 AM	5:00 PM	11:00 AM	5:00 PM	11:00 AM	5:00 PM	11:00 AM	5:00 PM	11:00 AM	5:00 PM	http://www.cake-ology.ca/	http://www.yelp.com/biz/cake-ology-winnipeg			https://plus.google.com/115784048810513207999/about?hl=en	https://www.facebook.com/pages/cake-ology/230128348182
Merged-03-oct.tsv:8bd16ef0-c607-102f-9efc-7875965aed1c	Lincoln Park Waxing Studio	2102 N.Clark 	Chicago	IL	60614	USA	(773) 661-1642			12:00 PM	8:00 PM	12:00 PM	8:00 PM	12:00 PM	8:00 PM	12:00 PM	8:00 PM	12:00 PM	8:00 PM	10:00 AM	6:00 PM	www.lincolnparkwaxing.com	http://www.yelp.com/biz/lincoln-park-waxing-studio-chicago			https://plus.google.com/114889253781504758837/about?gl=in&hl=en	https://www.facebook.com/pages/Lincoln-park-waxing-studio/188559457863587
Merged-03-oct.tsv:8bd34a01-b0da-102f-bd5b-65ec03b01557	Hellman Dermatology Group	30 Central Park South suite 10A	Manhattan	NY	10019	USA	(212) 751-0577					11:00 AM	4:00 PM	2:00 PM	7:00 PM	11:00 AM	4:00 PM	11:00 AM	4:00 PM			www.bigappleskin.com	http://www.yelp.com/biz/judith-hellman-md-new-york		http://local.yahoo.com/info-11107426-hellman-judith-md-hellman-judith-md-new-york	https://plus.google.com/116733529281030796446/about?gl=US&hl=en-US	https://www.facebook.com/JudithHellmanMD
